company,origin_flag,flag_basis,possible_merge_artifact,occurrences_in_pdf,pdf_pages,description
ARORA TRADING CO. (RAJAT ARORA) (ATLAS COPCO) ARTECHE,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"Our dedicated range of Railway Relays is designed to fulfil the most demanding requirements in the Railway industry including safety critical & SIL 4 applications with reliability, durability and standardization (for Rolling Stocks & Signalling)."
ASHUTOSH RUBBER PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"Rubber Spring, Lower Rubber Washer, Railway Rubber Pads, O Rings, Gaskets, Washers, Silicon Rubber Parts, Coupling, Mounting, Bellows, Bush, Grommet, Diaphragm, Buffer, Oil Seal, Rubber to Metal Bonded Parts, Silent Block Bush, Shock Absorber."
ASIAN PAINTS PPG PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,Protective Coatings Powder Coating Road Marking Railway Coating System Defense Coating System
ASKA EQUIPMENTS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"Portable lighting solutions for Raiwlays Anti corrosive Fire extinguishers for coaches Fire & safety solutions for Railway workshops, sheds & depots . Rescue products for ART, ARMV's All products are BIS & RDSO approved"
ASKAR MICRONS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"Askar Microns was born to give standard and customized CNC Machines - CNC Turning Center, CNC Milling Machine, CNC VMC Machines, CNC Axle Turning Machines, Vertical Turning Lathe Machines"
ASPHIRE SYSTEM OPC PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Optical Emission Spectrometer, Metal Analyzer for Ferrous, Aluminum, Copper, Lead Tin Zinc etc. and its accessories like sample polishing machine, wire adopter to analyze small sample, cu mold,"
ASSOCIATION OF INDIA TELOGICA LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,"Service Data acquisition Vibration tests Bogie TRELLEBORG INDIA PRIVATE LIMITED OTDR • Fusion Splicer • Cable Fault Locator frame EN13749 Seat design and validation, UIC (Division : Anti-vibration Solutions) • Cable Route Tracer • Fibre Optic Test 556, SBR CFD NVH lighting and signaling Airspring As"
ASTRAL LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Astral offers epoxy systems, sealants, tapes, thread lockers, flange sealants, specialty bonding solutions, primers, PU surfacers, corrosion-resistant paints, and topcoats in PU, alkyd, enamels, intumescent coatings and HR chemistries."
ATANDRA ENERGY PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Servo Stabilisers, Online UPS, Isolation Transformers, Test & Measurement"
AUTO STEEL AND RUBBER INDUSTRIES PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Bellow, Diaphragm, O-Ring, Washer, Valve Head Brake Pipe Accelerator, Gasket, Reservoir Mounting Plate Bonded, Valve Finished, V-Shutter, Grommets, V-Insert, Sealing Ring, Plunger Assy, rubber to metal bonded parts, Break Seals A.V. Mountings, Buffer"
AVADH RAIL INFRA LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Rubber to metal bonded Components, Sheet metal fabrication items, Inter car Gangways, etc, Overhead electrical 06"
AVALON TECHNOLOGIES LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,• Printed Circuit Board Assembly (PCBA) • Cable Assembly & Wire Harnessing • Sheet Metals Fabrication • Plastic Injection Molding • Magnetics & Transformers • System Integration & Testing • Electro- Mechanical Integration
AVIGIRI URETHANE AND RUBBER INDUSTRIES PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Single Shore Gaskets, Dual Shore Gaskets, Metal Inserted Gaskets, Corded Gaskets, Perforated/Pre-cut/ Notched Gaskets, Punched Gaskets, Colour Coded Gaskets, Sponge Gaskets, Silicon Gaskets, Fire Retardant Gaskets, and Peroxide Cured Gaskets."
AXIS SOLUTIONS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"Delivers advanced automation, control & integration solutions for railways & infrastructure. Expertise in process automation, networking, safety systems & turnkey project execution for reliable, efficient operations."
B P REFCOOL,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,6,"B P Refcool manufactures advanced cooling systems, Clariant Antifrogen® N 30% coolant, Whisper eco-friendly solutions, and leak locator technology, ensuring reliable, efficient, and sustainable performance for railway applications."
BAC PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"Structural Steel Fabrication C Erection, (Railway, Metro, Bridges, Industrial Plants), PEB (Pre-Engineered Buildings), Piping C Pipe Rack Structures, Civil C Finishing Works, Electrical, CCI C Ventilation Works, Surface Protection: Painting, Coating."
BALAJI ENGINEERING LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"Manufacturer of high-quality gas springs catering to diverse sectors, including automotive, furniture hardware, and industrial applications."
BANARAS LOCOMOTIVE WORKS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"1 Manufacturing of Electric locomotives: WAP7 & WAG9H 2 Manufacturing of Diesel locomotives: WDP4D, WDG4D, etc. 3 Manufacturing of Requirement based locomotive for Export and Non railway customers 4 Manufacturing of DG sets. 5 Supply of Spare"
BAPL ROTOTECH PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,Products focus for BAPL Rototech Pvt Ltd are Fuel tank DEF Tank Filler Pipe Exterior Parts Airflow management Engine components
BARSYL (BALAJI RAIL ROAD SYSTEMS PVT. LTD.),LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"Rail and Metro Feasibility Studies, Infrastructure and Station Planning, Detailed Design of Railway Systems, Rolling Stock and Systems Engineering, Procurement and Construction Management, Urban Mass Transit O&M Advisory and Planning. 07"
BAUMER INDIA PVT,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"Safe and reliable sensors for speed measurement and odometry Sensors for wheel slide protection systems Sensors in converters, transformers and for traction control Level detection in waste and fresh-water tanks & vacuum toilets Cameras for catenary BBM HEAVY MACHINERY PVT.TD. 1 Single cylinder whee"
BEICO INDISTRIES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"Beico Industries Pvt. Ltd. is an Indian manufacturer based in Mumbai, specializing in electrical insulating composites and enamelled copper wires since its incorporation in 1980. The company supplies its high-quality products to leading electrical equipment manufacturers and has state-of-the-art fac"
BELDEN,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,7,"Connected trains, tracks and stations deliver operational efficiencies and seamless rider experiences. Let Belden future-proof your mass transit network from design, installation and maintenance, to enable modern, interoperable rail communication."
BEMCO HYDRAULICS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,Hydraulic Re-Railing Equipment Wheel Skate Trolley Hydraulic Wheel Press
BEML LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"BEML specializes in rolling stock like metro coaches, LHB coaches, high-speed trains, EMUs, and DEMUs. It also manufactures mining equipment, defence vehicles, aerospace modules, engines, and maritime gear, supporting diverse industrial and defence s"
BENDER INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"Insulation monitoring devices, Insulation fault location systems, Residual / Leakage current monitors, Residual / Leakage current location systems for Signaling and Coaches. Portable Insulation Monitor with fault locator kit for Railway."
BERTOLOTTI INDIA PRIVATEÂ LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"Synchronized Mobile & Pit jacks, Sanding System (Fixed & Mobile), Bogie & Axle Drop Systems, Bogie & Wheelset Turntables, Working Platforms (Mobile & Fixed), Bogie Dismounting Press, Traversers, AGV Systems, Retractable Overhead Catenary System, etc. BESCO LIMITED (FOUNDRY DIVISION) Besco Limited (F"
BHAVIK ENTERPRISE,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"Silicone Rubber, Fluoroelastomer, HNBR, Fluorosilicone Rubber, Silicone Fluid 350cst, 08"
BHILAI ENGINEERING CORPN LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"Connect with us to explore strategic partnership in Rail Equipment manufacturing. Our unmatched capabilities include: • Cast, Fabricated & Hybrid Bogie Frames • AAR Coupler Sub-Systems • Extra-Large Fabrications • Comprehensive Range of Cast & Fa"
BHIMRAJKA MÃ„DER COATINGS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"We manufacture high performance industrial paints, coatings & composite materials for demanding industries specially like Railways where our products are passing EN-45545."
BHORUKA FABCONS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"Gangways, Anticlimber, Fixed Glass window, Window frame, Bottom step - Loco pilot usage, Ladder storage box, IC door, Plug and Slide door, Door Pillar, Under seat covers, Sidewall, E loco window, Door Threshold, Tread plate, Snack table, Luggage rack"
BLOWTECH AIR DEVICES PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,8,"The company enjoys being a market leader in two difference segments of the HVAC industry. One segment caters to the OEM business where we are the front runners in the design, development & manufacture of blowers & housings for the packaged/ ductable split AC units/ FCU for all the leading air-condit"
BMC METALCAST PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,• Narrow Jaw Adaptor • Wide Jaw Adaptor • Axle End Cap • Fitted Backing Ring • Centering Disc • Top Plate • Bottom Plate
BONY POLYMERS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,"1) Rubber Molded Components and Rubber to Metal Bonded Components 2) Air Brake Hose Assembly, L&K Type Composition Brake Blocks 3) Plastic Molded Parts 4) Door Automation Systems 5) Electrical & Electronic Parts 6) Retro-fitment of Automatic Doors"
BRADY COMPANY INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,9,"Customized labels and tags, Performance Die-Cuts, Industrial Barcode and Sign Printers, Signs and Pipe Marking, Wire identification, Audit services- Training Turn Key Solutions, LOTO, VLOP, Arc Flash, RFID, Safety Solutions, Sorbents 09"
BRAHMAND ENGINEERS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,"We Offered Products like Inventory Management System, Biometric System,VMC CNC Tool Trolley,Drawer Trolley,Assembly Table & Work Benches,ESD Workstation,FBO Bin Storage & Perfo Panel,Maintainace Trolley,Material Handling Trolley,Storage Cabinet,etc."
BRAITHWAITE & CO. LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,• Core business is manufacturing of New wagon • Repair/ROH/POH of wagon • O & M of Rly workshop • Container manufacturing • Bogie & Foundry items • Bridge fabrication • Civil infrastructure • Crane manufacturing & AMC • Renewable Energy • Welding Training
BRASS COPPER & ALLOY (I) LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,"• Copper, aluminium & bimetallic cable lugs & connectors. • Brass Cable Gland Kits & other brass & gunmetal components. • Designing & SITC of Earthing & Lightning Protection Systems. • Exothermic Welding Systems. • Crimping Tools. • OHE Fittings."
CEJN PRODUCTS INDIA PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,"CEJN manufactures quick connect couplings, hoses, hose reels, hydraulic pumps, and fluid guns, offering customized solutions with focus on safety, performance, and reliability across industries."
CENTRAL ORGANISATION FOR RAILWAY ELECTRIFICATION,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,9,"The Central Organisation for Railway Electrification (CORE) is responsible for planning, designing, and executing railway electrification projects across India, along with developing vendors for the supply of various items used in these projects."
CENTRE FOR RAILWAY INFORMATION SYSTEMS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"Ticketing & Passengers, Freight Services,Train Operations Asset Management,Asset Management,Human Resource & Accounting,Procurement & Automation Softwares"
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"Rolling Stock: Complete Traction Electrics for Rolling Stock, Traction Converter, Auxiliary Converter, Rolling Stock & Traction Transformer, Transformer, TCMS, Traction Motors, Traction Alternators, Switch Gear, Electrical Panels, Shell."
CHITTARANJAN LOCOMOTIVE WORKS (CLW) / CHITTARANJAN / INDIAN RAILWAYS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,CLW will showcase pictorial display of locomotives & features and some important electric locomotive equipment.
CII- SOHRABJI GREEN BUSINESS CENTRE,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"Advisory in energy efficiency, green buildings (IGBC), renewable energy, GreenCo & GreenPro ratings, waste management, cleaner production, and sustainable business practices."
COMATRELECO AG,FOREIGN,Germany/Switzerland/Austria (AG),False,1,10,"Our core competencies are Industrial, Time, and Monitoring Relays as well as Contactors. Manufactured with advanced solid-state or proven electro-mechanical designs, we provide high-quality production, customized solutions, and expert techn. support. 10"
COMPETENT FORGING LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"Service - Forging, Heat treatment, Machining, Assembly Product - Tempting Tool, Chiesel, Anti Roll Bar, Chain, Fish Plates, Draw Bar Assembly, Collar, Shocker Parts, Coupler Parts, Squeezing Cylinder"
CONNECTWELL INDUSTRIES PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"Connectwell delivers innovative electrical interconnection and control solutions, from DIN Rail Terminal Blocks to advanced power systems. With global certifications, we offer relays, control solutions, and custom products tailored to evolving custom"
CONTINENTAL)CONTITECH INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"We develop and produce multi-material, eco-friendly, safe and convenient solutions. Our offerings are used off-road, on rails and roads, in the air, under and above ground, in industrial environments and for the food and furniture industries."
CORPORATION LIMITED,FOREIGN,USA-style (Corporation),False,1,26,"Railway Overhead Electrical Construction & motors, motors, frequency inverters, enclosures, subracks, and front panels for Hydraulic Tools 4. Equipment for components, fabricated assemblies and sub Ethernet Switch, Power Supply, M12 Connector, infrastructure manufacturing of video security products."
CP PLUS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"Smart IoT cloud cameras, network & HD-analog cameras, DVRs/NVRs, mobile & body-worn cams, thermal screening, AI video analytics, access control, video doorbells, storage & racks, health monitoring, and more customized solutions."
CRESCENDO WORLDWIDE PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,10,"We offer following services: Outsourcing, Technological collaborations, Joint ventures, Merger and Acquisition, Contract manufacturing, Dealer/Distributor Establishment."
CROUZET,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,Crouzet Manufactures below for Railway Sector 1. BLDC motors with built-in drive 2. Brushed DC motors/PMDC Motor 3. Hermetically sealed relays 4. Planetary and worm-geared motors 5. Limit switches micro-switches 6. Programmable Logic Controllers
D K STEELS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"High Performance Rail Pads-Elastic EPDM rail pads can be manufactured for different needs, ranging from metros and tramways through to high-speed traffic. Mass Spring Systems-The conical stud mats are used to provide efficient vibration Ballast Mat"
D S AUTO,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"Tubular Parts, Exhaust Pipe, EGR Pipe, Engine Pipes, Tail Pipe, Suction Pipe, Fabricated Pipe Assemblies, Low and High-pressure Hoses & Stainless-steel tubes with stainless steel double ferrule fittings for Indian Railways."
DANFOSS INDUSTRIES PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,Compressors Controls Condensing Units Heat exchangers Sensors and transmitters Burner components Hydronic and electric floor heating Valves
DARSHANA INDUSTRIES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"Handles, Knobs, Handwheels, Leveling Base, Locks & Latches, Three Point Locks, Canopy Locks, Hinges, Conveyor Accessories, Flexible Mountings, Support Arm Systems, Aluminium Sections & its Accessories, Gaskets, Drag Chains, Cable Ties, Toggle Clamps. 11"
DAULATRAM ENGINEERING SERVICES LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"AC/DC Traction Motors, Resistors, Air Conditioners, Pantographs, Electric Vechile, Toilets"
DELLNER INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"Dellner designs and manufactures Couplers, Gangways, Front Hatches, Dampers, and crash energy management systems. Dellner Service provides maintenance and support solutions for rail operators."
DESMECH PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"Lavatory doors, Entrance door, automatic PRM door, Swing door, sliding door, Bust type window, Seats & Chair, AC diffusers"
DIRAK INDIA PANEL FITTINGS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,1 Quarter-Turn 2 Gaskets 3 Swinghandle 4 Latches 5 Handles
DNG TECHNOLOGIES PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"State-of-the-art Fire Testing Equipment engineered for accuracy and precision, helping industries in construction, manufacturing, and research assess fire resistance, ensure compliance, and make confident safety decisions."
DNV,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,11,"Certification of global standards such as IRIS, ISO 9001, ISO 19443, ISO 14001, ISO 50001, ISO/IEC 27001 ISA of signalling &"
DUAGON INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,12,"MVB/ETH-Comm. Cards/Gateways for Traction/TCMS, I/O's & Control and Monitor train sub-systems, Rail compliant Computers (Box/DIN/19 inch) for Onboard/Wayside Applications & Signaling, AUX systems for applications like PAPIS/ Entertainment Systems etc."
DYNALOG INDIA LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,12,"Our portfolio includes Industrial Ethernet Switches, Communication Gateways, Embedded Computers, HMI & Panel PCs, Industrial 4G/5G Modems, Routers, and integrated Cybersecurity solutions for IT and OT."
E+E ELEKTRONIK INDIA PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,12,"The product portfolio includes devices for the precise measurement of humidity, dew point, moisture in oil, CO2, air velocity, flow, pressure and temperature."
EAST COAST RAILWAY,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,12,This zone offering both passenger and good services. Total 241.51 millon tonnesof frieghts with frieght earning of 24794 crs during year 2024-25.
ECM EXPO & CONFERENCE MANAGEMENT GMBH,FOREIGN,Germany (GmbH),False,1,12,FRÃ„NKISCHE Industrial Pipes offers FIPSYSTEMS® cable protection solutions that safeguard cables and data lines from 12
ELEGAR KERPEN KABEL INDIA PVT. LTD (FORMERLY LEONI CABLE SOLUTIONS (INDIA) PVT. LTD),LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,13,Single core cable Screened Multicore cable Unscreened Multicore cable UIC Cable UIC Cable Hybrid Cable 9 & 11 Core
ELEKTROLITES POWER PVT LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,13,25kV Single Pole Load Break Switch 25kV Double Pole Load Break Switch 36kV to 48kV Class-3 Polymer Surge Arrester/LA 42kV to 216kV Class-4 Polymer Surge Arrester/LA 42kV to 198kV Class-3 Porcelain Surge Arrester Smartgrid Solutions & Application
ELESA AND GANTER INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,13,"Operating elements, Clamping knobs, Clamping levers, U-handles, Fixed, revolving, fold-away handles, Control elements, Rotary controls, Indexing elements, Machine elements, Joints, Levelling elements, Hinges, Latches, Hook, toggle and power clamps"
ELESA AND GANTER INDIA PVT LTD FLUCON COMPONENTS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,14,"Yards, Cement Plants and steel industries. Operating elements, Clamping knobs, This facility specializes in the production of Clamping levers, U-handles, Fixed, revolving, EXPONIQ ENGINEERING SERVICES industrial products, focusing primarily on fold-away handles, Control elements, Rotary PVT. LTD. el"
ELGI ELECTRIC AND FLUID CONTROLS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,14,• Reverse Engineering • 3D Printing
ELGI ELECTRIC AND INDUSTRIES LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,13,Point Machines for Railways DC Motors for Railways Three phase AC Motors 0.12 kW to 30 KW Motors for Textile Machinery
ELMEX ELECTRIC PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,13,Terminal Blocks and Its Accessories Solar Connectors Interface Modules Slim Relay Low Voltage Current Transformers
EMERSON PROCESS MANAGEMENT INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,13,"Klauke â€“ Power Utilities, Railways, OEM & Panel Builders, Renewable Energy and 13"
EPHYMESS GMBH,FOREIGN,Germany (GmbH),False,2,"14,15","Cable Hybrid Cable 9 & 11 Core of our railway customers, and can be used to Robust temperature, oil level and speed protect wire harnesses and cable sensors monitor traction motors, gearboxes, ELEKTROLITES POWER PVT LTD. assemblies in several areas of a railway car. bearings, control cabinets and ba"
EPHYMESS GMBH LIMITED,FOREIGN,Germany (GmbH),False,3,"16,17,18","Cable Hybrid Cable 9 & 11 Core of our railway customers, and can be used to detection and firefighting solutions for rolling innovative solutions that power industries Robust temperature, oil level and speed FRONTIER SPRINGS LIMITED protect wire harnesses and cable stock. With over 25,000 systems wo"
FINE AUTOMOTIVE AND INDUSTRIAL,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,14,"Double Pole Load Break Switch 36kV to operation. Modular designs add flexibility,"
