s_no,name,country_origin,flag,flag_basis,category_segment,hall,stand,source_url
18,ADM ENGINEERING,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-107,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
19,Adtech Systems Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P40,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
20,Adtomate Solutions Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 5,A5-56,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
21,Advanced Telemedia Pvt. Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,A5-87,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
22,Advergrow Solutions LLP,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P108,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
23,Aeonx Digital,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 3,A3-48,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
24,Aetherrax Technologies,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 3,C3-14,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
25,Aetina Corporation,Taiwan,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Taiwan"".",IT & Communications,Hall 5,A5-150,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
26,AGROFAB SUSTAINABLE  PRIVATE LIMITED,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P13,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
27,AI Astro Call,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 3,A3-17,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
28,AI Experts,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IoT & Embedded Tech,Hall 4,E4-34,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
29,AI Governance Platform,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IoT & Embedded Tech,Hall 5,D5-91,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
30,Aimtron Electronics Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IoT & Embedded Tech,Hall 4,B4-11,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
31,Airoha Technology Corp.,Taiwan,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Taiwan"".",IT & Communications,Hall 5,D5-122,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
32,Airpro Technology Ind Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-156,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
33,Aitransmute Solutions Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 5,C5-145,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
34,Aizantra Intelligence Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P115,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
35,Akubela,China,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""China"".",IT & Communications,Hall 5,D5-84,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
36,Akuvox Networks Pvt Ltd,China,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""China"".",IT & Communications,Hall 5,D5-84,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
37,Alaric Securities,Bulgaria,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Bulgaria"".",FinTech,Hall 2,A2-08,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
38,ALERTIS Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P120,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
39,Algo,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,C5-280,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
40,ALi Corporation,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Broadcast & Satcom,Hall 5,C5-255,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
41,Align Info Solutions Pvt. Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",FinTech,Hall 2,B2-42,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
42,All India Association of Industries: AIAI India,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Association,,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
43,All India Electronics Association (AIEA),India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Association,,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
44,Alliance Broadband Services Pvt. Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,C5-144,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
45,AllSecureX,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,DST Pavilion,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
46,ALLWAYS CREATIVE PVT. LTD.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Mobile Devices & Accessories,Hall 2,B2-59,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
47,Alpha Bridge Technologies Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,A5-06,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
48,ALTA LABS,United States,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""United States"".",IT & Communications,Hall 5,B5-135,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
49,ALVIONTECH,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-100,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
50,Amazon Web services,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 3,A3-48,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
51,Amson Interconnect Pvt. Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Mobile Devices & Accessories,Hall 2,D2-44,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
52,ANHUI MADO,China,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""China"".",IoT & Embedded Tech,Hall 5,E5-91,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
53,Anhui Mudong Communication,China,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""China"".",IoT & Embedded Tech,Hall 5,E5-91,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
54,ANONET COMMUNICATIONS PRIVATE LIMITED,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-150,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
55,Anpo Moscow Export Centre,Russia,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Russia"".",Country Pavilion,Hall 3,B3-50,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
56,Anritsu India Pvt Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,A5-92,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
57,ANS IT INDIA,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Internet of Things,Hall 3,A3-27,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
58,Antastic Information Technologies,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P65,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
59,ANU Enterprises,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,A5-76,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
60,APACER TECHNOLOGIES PVT LTD,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 3,B3-71,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
61,Apex Space Exploration Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P9,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
62,APLEX Technology Inc.,Taiwan,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Taiwan"".",IT & Communications,Hall 5,A5-150,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
63,Appear,Singapore,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Singapore"".",Broadcast & Satcom,,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
64,Appear,Singapore,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Singapore"".",Broadcast & Satcom,,Sponsorship,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
65,Apposite Technology,United States,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""United States"".",IT & Communications,Hall 2,B2-45,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
66,AppSquadz Software Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Broadcast & Satcom,Hall 5,A5-85,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
67,Aptly Technology Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P122,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
68,Aquawelder HyEnergy,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P51,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
69,ARBOR Technology Corporation,Taiwan,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Taiwan"".",IT & Communications,Hall 5,A5-150,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
70,Archana Enterprises,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-95,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
71,Arctano Solutions Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Internet of Things,Hall 3,C3-16,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
72,Arcturus Business Solutions Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Artificial Intelligence,Hall 5,B5-90,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
73,ARGUS-M,Russia,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Russia"".",IT & Communications,Hall 3,B3-50,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
74,Arkellis,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P1,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
75,Aroopa Technologies Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-94,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
76,ARVION,United Arab Emirates,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""United Arab Emirates"".",FinTech,Hall 2,B2-27,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
77,Aryavrat Infotech Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P88,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
78,Asia Video Industry Association (AVIA),India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Association,,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
79,Asoft Global Solutions Pvt Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,P119,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
80,Association of Security & Surveillance Professionals (ASSP),India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Association,,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
