name,country_iso3,country_label,city,email,homepage,rewriteId
AGİD Aydınlatma Gere&ccedil;leri İmalat&ccedil;ıları Derneği,TUR,Türkiye,Sariyer / Istanbul,agid@agid.org.tr,www.agid.org.tr,aydinlatma-gerecleri-imalatcilari-dernegi-agd-iktisadi-isletmesi
Agolar Lighting,ESP,Spain,"Catarroja, Valencia",iluminacion@agolar.es,www.agolar.eu,agolar-gestion-sl
AGRO AG,CHE,Switzerland,Hunzenschwil,info@agro.ch,www.agro.ch,agro-ag
AIRZONE,ESP,Spain,Campanillas,marketing@airzonecontrol.com,www.airzonecontrol.com,corporacion-empresarial-altra-sl
Ajax Systems,DEU,Germany,Berlin,,ajax.systems,ajax-systems-germany-gmbh
"AKA PCB d.o.o., Lesce",SVN,Slovenia,Lesce,maja.kotar@aka-pcb.si,www.aka-pcb.si,aka-pcb-doo
AKENZA AG,CHE,Switzerland,Zürich,,www.akenza.io,akenza-ag
AKF-Tec GmbH,DEU,Germany,Unnau,info@akf-tec.de,www.akf-tec.de,akf-tec-gmbh
AKTO UAB,LTU,Lithuania,Kaunas,donatas@aktoled.com,www.aktoled.com,akto-uab
"AKUBELA CO., LTD.",CHN,China,Xiamen Fujian,sales@akubela.com,www.akubela.com,akuvox-xiamen-networks-co-ltd
AKZENTLICHT Innovations GmbH &amp; Co. KG,DEU,Germany,Düsseldorf,kontakt@akzentlicht.de,akzentlicht.de,akzentlicht-innovations-gmbh--co-kg
"Changzhou Aladdin Lighting Tech Co., Ltd.",CHN,China,Changzhou Jiangsu,karen@ctlamp.com,www.ctlamp.com,changzhou-aladdin-lighting-tech-co-ltd
Algorab S.r.l.,ITA,Italy,Lavis,marketing@algorab.com,www.algorab.com,algorab-srl
Aling-Conel d.o.o.,SRB,Serbia,Gajdobra,ratko.d@aling-conel.com,www.aling-conel.com,aling-conel-doo
"Alite Lighting Equipment Co., Limited",HKG,Hong Kong,Kowloon,md1@alitecn.com,www.alitecn.com,alite-lighting-equipment-co-limited
Alkan Asya Afrika Uretim ve Elektrik Malzemeleri San. Tic. A.S.,TUR,Türkiye,Istanbul,info@alkanlighting.com,www.alkanlighting.com,alkan-asya-afrika-uretim-ve-elektrik-malzemeleri-san-tic-as
Allbee B.V.,NLD,Netherlands,Amersfoort,info@allbee.eu,www.allbee.eu,allbee-bv
Allegro-opt PE,UKR,Ukraine,"Berezhynka Village, Kirovograd District",info@videx.ua,videx.ua,allegro-opt-pe
All-Esd Limited,HKG,Hong Kong,Central,khjled@khj.cn,www.khjled.com,all-esd-limited
ALLNET GmbH Computersysteme,DEU,Germany,Germering,sales@allnet.de,www.allnet.de,allnet-gmbh-computersysteme
Allorado BV,BEL,Belgium,Tervuren,sales@allorado.io,allorado.io,allorado-bv
"Guangdong Alltop Lighting Co., Ltd.",CHN,China,Zhongshan Guangdong,gmi@alltoplighting.com,www.alltopgroup.com,guangdong-alltop-lighting-coltd
"Guangdong Allway Lighting Electric Co., Ltd.",CHN,China,Zhongshan Guangdong,jeff@allwayled.com,www.allwayled.com,guangdong-allway-lighting-electric-co--ltd
Alpani Dis Tic. Ltd. Sti.,TUR,Türkiye,Buyukcekmece /Istanbul,info@alpani.com,www.alpani.com,alpani-dis-tic-ltd-sti
A.L.P. Europe Limited,GBR,Great Britain and Northern Ireland,"Oldbury, West Midlands",sales@alpeurope.co.uk,www.alpeurope.co.uk,alp-europe-limited
Alphatec Schaltschranksysteme GmbH,DEU,Germany,Brennberg,,www.alphatec-systeme.de,alphatec-schaltschranksysteme-gmbh
"Altech Co., Ltd.",KOR,"Korea, the Republic of (South)",Daegu,altech3742@daum.net,https://www.altc.co.kr/,altech-co-ltd
Altez Elektronik Aydinlatma San. Ve Tic. Ltd. Sti.,TUR,Türkiye,Tuzla /Istanbul,satinalma@altez.com.tr,www.altez.com.tr,altez-elektronik-aydinlatma-san-ve-tic-ltd-sti
"Alto Co., Ltd.",KOR,"Korea, the Republic of (South)",Seoul,altoled@alto.co.kr,http://www.alto.co.kr,alto-co-ltd
"Guangdong Aluds Lighting Industrial Co., Ltd.",CHN,China,Jiangmen City Guangdong,,www.aluds.cn,guangdong-aluds-lighting-industrial-co-ltd
"Ambor Structures, Inc.",USA,United States,Venice Florida,,,ambor-structures-inc
ams OSRAM Group,DEU,Germany,München,sensors@ams-osram.com,www.ams-osram.com,osram-gmbh
"Jiangmen Ancheng Lighting Appliance Co., Ltd.",CHN,China,Jiangmen City Guangdong,,,jiangmen-ancheng-lighting-appliance-co-ltd
Charalampos Krinas and Co Andromeda Lighting,GRC,Greece,Megara,info@andromedalighting.gr,www.andromedalighting.gr,charalampos-krinas-and-co-andromeda-lighting
Asociaci&oacute;n Espanola de Fabricantes de Iluminacion (ANFALUM),ESP,Spain,Madrid,aaguilo@anfalum.com,www.anfalum.com,asociacin-espanola-de-fabricantes-de-iluminacion-anfalum
ANGUILA,ESP,Spain,Rubi-Barcelona,mp@estiare.es,www.estiare.com,estiare-sa
"Shenzhen Angui Technology Co., Ltd.",CHN,China,Shenzhen Guangdong,sales01@agt.net.cn,www.agtdriver.com,shenzhen-angui-technology-co-ltd
"Anhui Chen Rui Electric Co., Ltd",CHN,China,Chuzhou Anhui,info@sinolux.com,www.sinolux.com,an-hui-chen-rui-electric-coltd
Ankara Metal Products Exporters Association,TUR,Türkiye,Cankaya /Ankara,demir@oaib.org.tr,https://www.demirbirlik.org/,ankara-metal-products-exporters-association
"Anker Innovations Technology Co., Ltd.",CHN,China,Changsha Hunan,,www.anker-in.com,anker-innovations-technology-co-ltd
Antidark ApS,DNK,Denmark,Middelfart,info@antidark.dk,www.antidark.dk,antidark-aps
"Zhejiang Antong Elec &amp; Tech Co., Ltd.",CHN,China,Lishui Zhejiang,penny@safetypass.com,www.safetypass.com,zhejiang-antong-elec--tech-co-ltd
"AnyCasting Co., Ltd.",KOR,"Korea, the Republic of (South)",Seoul,andrea.kim@anycasting.com,http://www.anyoptics.com,anycasting-co-ltd
Anyhope Technology Limited,HKG,Hong Kong,"Kwun Tong, Kowloon",info@anyhopetech.com,www.anyhopetech.com,anyhope-technology-limited
AOK Industrial Company Limited,CHN,China,Shenzhen Guangdong,bonnie@aokledlight.com,www.aokledlight.com,aok-industrial-company-limited
"A-one Led Lighting Co., Ltd.",CHN,China,Dongguan Guangdong,,www.aoneled.com,a-one-led-lighting-co-ltd
"Aoxing Electric Technology Co., Ltd.",CHN,China,Xiaolan Town Guangdong,,,aoxing-electric-technology-co-ltd
Schneider Electric GmbH c/o APC,DEU,Germany,Düsseldorf,DACH-Insidesales-ITD@se.com,https://www.se.com,schneider-electric-gmbh-co-apc
APL AG,DEU,Germany,Mülheim an der Ruhr,,,apl-ag
"Aqara LLC (Lumi United Technology Co., Ltd)",CHN,China,Shenzhen Guangdong,sebastian-a2145@aqara.com,www.aqara.com,lumi-united-technology-co-ltd
Aqua-Scope Technologies OU,EST,Estonia,Tallinn,info@aqua-scope.com,https://www.aqua-scope.com,aqua-scope-technologies-ou
Archilight s.r.o.,CZE,Czech Republic,Dolni Brezany,srb@archilight.cz,www.archilight.eu,archilight-sro
Archion,KOR,"Korea, the Republic of (South)",Anyang-si,overseas@b2system.co.kr,www.archion.co.kr,b2-co-ltd
"Arcllux (Zhongshan) Intelligent Lighting Technology Co., Ltd.",CHN,China,Zhongshan Guangdong,allen@arcllux.com,www.arcllux.com,arcllux-zhongshan-intelligent-lighting-technology-co-ltd
Arcluce S.p.A.,ITA,Italy,San Zenone al Lambro,export@arcluce.it,www.arcluce.it,arcluce-spa
ARCUS Electronic Design Services GmbH,DEU,Germany,Berlin,info@arcus-eds.de,www.arcus-eds.de,arcus-electronic-design-services-gmbh
Arde Aydinlatma San. Tic. Ltd Sti,TUR,Türkiye,Sancaktepe /Istanbul,info@detayaydinlatma.com.tr,www.detayaydinlatma.com.tr,arde-aydinlatma-santicltd-sti
ARDIC Elektrik San. ve Tic. Ltd. Sti.,TUR,Türkiye,Istanbul,import@ardic.com,www.ardic.com,ardic-elektrik-san-ve-tic-ltd-sti
Arditi GmbH,DEU,Germany,Ebersdorf,controlling@arditi.de,www.arditi.de,arditi-gmbh
Arelux Srl,ROU,Romania,Bacau,,www.arelux.ro,arelux-srl
Argetron Elektronik Ltd. Sti,TUR,Türkiye,Istanbul,mehmet.budak@argetron.com,www.argetron.com,argetron-elektronik-ltd-sti
Arline Srl,ITA,Italy,Milano,info@arline.it,www.arline.it,arline-srl
ARLUX SAS,FRA,France,Aubagne,meh@arlux-lighting.fr,www.arlux-lighting.fr,arlux-sas
Arnocanali S. P. A.,ITA,Italy,Rignano Sull'Arno,export@arnocanali.it,www.arnocanali.it,arnocanali-s-p-a
"Aromas del Campo, S.L.",ESP,Spain,Betera,aromas@aromasdelcampo.com,www.aromasdelcampo.com,aromas-del-campo-sl
Aronlight Lda.,PRT,Portugal,Oeiras,manuel.vidigal@aronlight.pt,www.aronlight.com,aronlight-lda
ShenZhen Arraystarled Limited,CHN,China,ShenZhen Guangdong,david@arraystarled.com,www.arraystarled.com,shenzhen-arraystarled-limited
"Artilect Green Co., Ltd.",TWN,Taiwan,Taipei City,info@artilectgreen.com,www.artilectgreen.com,artilect-green-co-ltd
Artim Metal Elektrik San. Tic. A.S.,TUR,Türkiye,Silivri /Istanbul,,www.artimmetal.com,artim-metal-elektrik-san-tic-as
"FPH &#39;ART Metal&#39; Jolanta Dobrodziej, Grzegorz Dobrodziej Sp. J.",POL,Poland,Lapino Kartuskie,info@art-metal.pl,www.art-metal.pl,fph-art-metal-jolanta-dobrodziej-grzegorz-dobrodziej-sp-j
Art Vetro Srl,ITA,Italy,Galbiate,,www.artvetro.com,art-vetro-srl
ASA Plastici Azienda Stampaggio Articoli Plastici Srl,ITA,Italy,Trezzano Sul Naviglio,ucommerciale@asaplastici.it,www.asaplastici.com,asa-plastici-azienda-stampaggio-articoli-plastici-srl
Ascable,ESP,Spain,Les Franqueses del Valles,aperez@ascable.es,www.ascable-recael.com,ascable-recael-sa
"Asia Unique Led Lighting Co., Ltd.",CHN,China,Shenzhen Guangdong,auniqueled@ledofchina.com,www.ledofchina.com,asia-unique-led-lighting-co-ltd
ASLED SAS,FRA,France,Cholet,info@asled.eu,www.asled.fr,asled-sas
ASM Security Kft.,HUN,Hungary,Budapest,dora.kertesz@clever-light.com,www.clever-light.com,asm-security-kft
Asp&ouml;ck Systems GmbH,AUT,Austria,Peuerbach,info@aspoeck-lumeu.com,http://www.aspoeck-lumeu.com/,aspoeck-systems-gmbh
ASSA ABLOY Sicherheitstechnik GmbH,DEU,Germany,Albstadt,albstadt@assaabloy.com,www.assaabloy.com/de,assa-abloy-sicherheitstechnik-gmbh
Associazione Nazionale Produttori Illuminazione - ASSIL,ITA,Italy,Milano,marketing.comunicazione@assil.it,www.assil.it,associazione-nazionale-produttori-illuminazione---assil
ASYA Lighting Products,BGR,Bulgaria,Sliven,office@asya-light.com,https://asya-light.com/en/,uzo-ood
Atios AG,CHE,Switzerland,Seedorf,,,atios-ag
Atkore,BEL,Belgium,Oudenaarde,vergokansales@atkore.com,www.atkore.com,vergokan-nv
ATM Lighting Sp. z o.o.,POL,Poland,Gdansk,office@atmlighting.pl,www.atmlighting.pl,atm-lighting-sp-z-oo
ATP Lighting,ESP,Spain,Arre (Navarra),comercial@atpiluminacion.com,https://www.atpiluminacion.com/home.html,alumbrado-tcnico-pblico-sa
SIA &#39;ATTA-1&#39;,LVA,Latvia,Riga,b2b@bankoflamps.com,https://bankoflamps.com/,sia-atta-1
Attema B.V.,NLD,Netherlands,Gorinchem,info@attema.nl,www.attema.com,attema-bv
AUBRILAM S.A.S.,FRA,France,Clermont Ferrand,contact@aubrilam.fr,www.aubrilam.com,aubrilam-sas
Aufmaster GmbH,DEU,Germany,Frankfurt am Main,info@aufmaster.com,www.aufmaster.de,aufmaster-gmbh
AUREX Industries Inc.,TWN,Taiwan,Taipei City,info@aurex.com.tw,www.aurex.com.tw,aurex-industries-inc
Aurolite Electrical Limited,HKG,Hong Kong,Sheung Wan,sales@aurolight.cn,www.aurolight.cn,aurolite-electrical-limited
"Auroras Innotech Guangdong Co., Ltd.",CHN,China,Gree Innovation City Guangdong,,,auroras-innotech-guangdong-co-ltd
Austar Lighting Co Ltd,CHN,China,Ningbo Zhejiang,info@austarlux.com,www.ChinaAustar.com,austar-lighting-co-ltd
"Autani, LLC",USA,United States,Columbia Maryland,,,autani-llc
Authentage,BEL,Belgium,Wijnegem,info@authentage.be,www.authentage.be,post-light-international-nv
Author Limited,HKG,Hong Kong,Tsim Sha Tsui,info@author-lighting.com,www.author.hk,author-limited
AUTLED GmbH,AUT,Austria,Obersdorf,office@autled.com,www.autled.com,autled-gmbh
auxalia GmbH,DEU,Germany,Hamburg,info@cadstudio.com,www.auxalia.com,auxalia-gmbh
Avelon Deutschland GmbH,DEU,Germany,Berlin,sales-de@avelon.com,https://avelon.com,avelon-deutschland-gmbh
AVE S.p.A.,ITA,Italy,Rezzato,export@ave.it,www.ave.it,ave-spa
A.V.S. s.r.l.,ITA,Italy,Masera Di Padova,segreteria@avs-srl.com,www.avs-srl.com,avs-srl
Rafał Stanuch P.P.H.U. AWEX Sp. z o.o.,POL,Poland,Michałowice,export@awex.eu,www.awex.eu,rafal-stanuch-pphu-awex-sp-z-oo
AW Lighting Limited,HKG,Hong Kong,North Point,alfredlau@awmcl.com.hk,www.awmcl.com.hk,aw-lighting-limited
Axis Communications GmbH,DEU,Germany,Ismaning,info-de@axis.com,www.axis.com,axis-communications-gmbh
Axis Electrical Components (India) Private Limited,IND,India,Mumbai,hemant.s@axis-india.com,axis-india.com,axis-electrical-components-india-private-limited
AYDINLATMA TEKNİK DERGİSİ &amp; ELECTRICITY MAGAZINE,TUR,Türkiye,Esenyurt /Istanbul,mates@electricityturkey.com,www.aydinlatmateknik.com,yukselis-yayincilik-ltd-sti
AY-KA Elektrik Emlak Insaat San. ve Tic. Ltd. Sti.,TUR,Türkiye,Ciftlikköy,gurkanayaz@aykaelektrik.com.tr,www.aykaelektrik.com.tr,ay-ka-elektrik-emlak-insaat-san-ve-tic-ltd-sti
AYPRO Technology,TUR,Türkiye,Antalya,info@aypro.com,www.aypro.com,aypro-technology
Aytac Aydinlatma San. ve Tic. Ltd. Sti.,TUR,Türkiye,Istanbul,kadir.celep@lucea.com.tr,www.lucea.com.tr,aytac-aydinlatma-san-ve-tic-ltd-sti
Azzardo Sp. z o.o.,POL,Poland,Poznan,margo.keller@lampy.it,azzardo.com,azzardo-sp-z-oo
BACnet Interest Group Europe e.V.,DEU,Germany,Aachen,info@big-eu.org,www.big-eu.org,bacnet-interest-group-europe-ev
Bader LED-Lichtsysteme Robert Bader,DEU,Germany,Nagold,service@bader-led.de,www.bader-led.de,bader-led-lichtsysteme-robert-bader
"Baelux Co., Ltd.",KOR,"Korea, the Republic of (South)","Seocho-gu, Seoul",dr.j.bae@baelux.com,www.baelux.com,baelux-co-ltd
"Foshan Shunde Baihong Hardware Product Co., Ltd.",CHN,China,Foshan Guangdong,lora@baholighting.com,www.baholighting.com,foshan-shunde-baihong-hardware-product-coltd
"Zhongshan Bailiwei Lighting Co., Ltd.",CHN,China,Zhongshan Guangdong,blw222@bailiwei.com,www.bailiwei.com,zhongshan-bailiwei-lighting-coltd
"Baiwei Lighting Technology Co., Limited",HKG,Hong Kong,"Laichikok, Kowloon",sales@baiweilighting.com,www.linear-profile.com,baiwei-lighting-technology-co-ltd
Baiyi Lighting (Shanghai) Holdings Ltd.,CHN,China,Shanghai,bryan.zhou@baiyiglobal.com,www.baiyiglobal.com,baiyi-lighting-shanghai-holdings-ltd
&#39;Baks&#39; Kazimierz Sielski,POL,Poland,Karczew,baks@baks.com.pl,www.baks.com.pl,baks-kazimierz-sielski
Bals Elektrotechnik GmbH &amp; Co. KG,DEU,Germany,Kirchhundem,info@bals.com,www.bals.com,bals-elektrotechnik-gmbh--co-kg
"WENZHOU BAODE ELECTRIC CO., LTD.",CHN,China,Wenzhou Zhejiang,bestest@sunnybell.com.cn,www.sunnybell.com.cn,wenzhou-baode-electrical-co-ltd
"Taizhou Baoluda Electric Technology Co., Ltd.",CHN,China,Taizhou Zhejiang,salec@qixing.cc,www.ceeplug.com,taizhou-baoluda-electric-technology-co-ltd
Bartenbach GmbH,AUT,Austria,Wattens,info@bartenbach.com,www.bartenbach.com,bartenbach-gmbh
Basalte,BEL,Belgium,Merelbeke,info@basalte.be,www.basalte.be,basalte-bvba
Basoglu Kablo ve Profil San. ve Tic. A.S.,TUR,Türkiye,Istanbul,info@basoglu.com,www.basoglu.com,basoglu-kablo-ve-profil-san-ve-tic-as
BASOR ELECTRIC,ESP,Spain,Gandia,basor@basor.com,www.basor.com,bt3-services-sociedad-limitada
Batsecur Sarl,FRA,France,Montbonnot-Saint-Martin,a.nauleau@batsecur.fr,www.batsecur.fr,batsecur-sarl
Battery-Kutter GmbH &amp; Co. KG,DEU,Germany,Norderstedt,jvkapherr@battery-kutter.de,www.battery-kutter.de,battery-kutter-gmbh--co-kg
BBC Cellpack,DEU,Germany,Waldshut-Tiengen,electrical.products@cellpack.com,cellpack.com,bbc-cellpack-gmbh
"BCMAX, s.r.o.",CZE,Czech Republic,"Ostrava, Slezská Ostrava",ganco.gancev@bcmax.cz,www.bateriecentrum.cz,baterie-centrum-sro
Beacon Lighting Europe GmbH,DEU,Germany,Krefeld,sales@beaconlighting.eu,https://beaconlighting-europe.com/,beacon-lighting-europe-gmbh
Beautiful Light Technology Corporation,TWN,Taiwan,Lucao Township,sales@bltc.com.tw,www.bltc.com.tw,beautiful-light-technology-corporation
"BEAUTY (GD) MANUFACTURING CO., LIMITED",CHN,China,Jiangmen Guangdong,manager@chinabeautylighting.com,www.chinabeautylighting.com,beauty-gd-manufacturing-co-limited
"Beauty Shadow Co., Ltd.",HKG,Hong Kong,"Tsuen Wan, Kowloon",info@beautyshadow.com,www.beautyshadow.com,beauty-shadow-co-ltd
Bechter Licht GmbH,AUT,Austria,Hittisau,office@georgbechterlicht.at,www.georgbechterlicht.at,bechter-licht-gmbh
Beckhoff Automation GmbH &amp; Co. KG,DEU,Germany,Verl,info@beckhoff.de,,beckhoff-automation-gmbh--co-kg
"Ningbo BEC Lighting Co., Ltd.",CHN,China,Ningbo Zhejiang,sales1@beclighting.com,www.beclighting.com,ningbo-bec-lighting-co-ltd
BEGA Gantenbrink-Leuchten KG,DEU,Germany,Menden (Sauerland),info@bega.com,https://www.bega.com,bega-gantenbrink-leuchten-kg
B.E.G. Br&uuml;ck Electronic GmbH,DEU,Germany,Lindlar,vertrieb@beg.de,www.beg-luxomat.com,beg-brueck-electronic-gmbh
BEGHELLI SpA,ITA,Italy,Valsamoggia,estero@beghelli.it,www.beghelli.com,beghelli--spa
Beijing Yanuo Adhesive Products Co. Ltd.,CHN,China,Beijing,info@tenotape.com,www.tenotape.com,beijing-yanuo-adhesive-products-co-ltd
Belux AG,CHE,Switzerland,Möriken,belux@belux.com,www.belux.com,belux-ag
Bemis Teknik Elektrik A.S.,TUR,Türkiye,Nilüfer /Bursa,trade@bemis.com.tr,www.bemis.com.tr,bemis-teknik-elektrik-as
Bemko Sp. z o.o.,POL,Poland,Jawczyce,kamil.konopka@bemko.pl,www.bemko.eu,bemko-sp-z-oo
Bender GmbH &amp; Co. KG,DEU,Germany,Grünberg,info@bender.de,www.bender.de,bender-gmbh--co-kg
Bender &amp; Wirth GmbH &amp; Co.,DEU,Germany,Kierspe,info@bender-wirth.de,www.bender-wirth.com,bender--wirth-gmbh--co
Dieter W. Bendler Leuchtenzubeh&ouml;r GmbH &amp; Co.,DEU,Germany,Arnsberg,info@dw-bendler.de,www.dw-bendler.de,dieter-w-bendler-leuchtenzubehoer-gmbh--co
BENEDER Kunststofftechnik GmbH,AUT,Austria,Schwertberg,office@beneder-kunststofftechnik.at,www.beneder.at,beneder-kunststofftechnik-gmbh
BENEITO FAURE,ESP,Spain,La Roca del Vallès,judit@beneito-faure.com,www.beneito-faure.com,beneito--faure-lighting-sl
Benetics AI - Der erste KI Sprachassistent f&uuml;r das E-Handwerk,CHE,Switzerland,Zürich,info@benetics.ai,https://www.benetics.ai,benetics-ag
"Benito Urban, S.L.U.",ESP,Spain,Vic (Barcelona),info@benito.com,www.benito.com,benito-urban-slu
Benning Elektrotechnik und Elektronik GmbH &amp; Co. KG,DEU,Germany,Bocholt,info@benning.de,www.benning.de,benning-elektrotechnik-und-elektronik-gmbh--co-kg
"Benson Energy Saving Technology Co., Ltd.",TWN,Taiwan,Tainan,service@best-energysaving-tech.com,,benson-energy-saving-technology-co--ltd
BERGDAHLS AB,SWE,Sweden,Linköping,kundsupport@bergdahls.com,www.bergdahls.com,ronnie-bergdahls-foersaeljnings-ab
Bert Frank Limited,GBR,Great Britain and Northern Ireland,London,info@bertfrank.co.uk,https://bertfrank.co.uk/,bert-frank-limited
Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse-BG ETEM,DEU,Germany,Köln,info@bgetem.de,www.bgetem.de,berufsgenossenschaft-energie-textil-elektro-medienerzeugnisse-bg-etem
Bes A Elektrik ve Elektronik San. Tic. A.S.,TUR,Türkiye,Istanbul,arzu.rona@bes-a.com,www.bes-a.com,bes-a-elektrik-ve-elektronik-san-tic-as
"Ningbo Bestlite Electric Co., Ltd.",CHN,China,Ningbo Zhejiang,bestlite@bestlite888.com,www.bestlite.com.cn,ningbo-bestlite-electric-co-ltd
Besun LED Limited,HKG,Hong Kong,Wanchai,sales@besun-led.com,www.besun-led.com,besun-led-limited
"Dongguan Betop Smart Lighting Co., Ltd.",CHN,China,Dongguan Guangdong,,www.betop-led.com,dongguan-betop-smart-lighting-co-ltd
bGrid B.V.,NLD,Netherlands,Amsterdam,wouter.kok@bgrid.com,www.bgrid.com,bgrid-bv
Bihl + Wiedemann GmbH,DEU,Germany,Mannheim,mail@bihl-wiedemann.de,www.bihl-wiedemann.de,bihl--wiedemann-gmbh
"Billionaire Lighting Co., Ltd",CHN,China,Shenzhen Guangdong,sales6@billionaireled.com,www.billled.com,billionaire-lighting-coltd
BIMER Electric Srl,ITA,Italy,Castel Mella,emargosian@bimerelectric.com,www.bimerelectric.com,bimer-electric-srl
BION Technologies GmbH,DEU,Germany,Königsbrunn,info@biontechnologies.com,www.biontechnologies.com,bion-technologies-gmbh
Bird Home Automation GmbH,DEU,Germany,Berlin,hello@doorbird.com,www.doorbird.com,bird-home-automation-gmbh
BITGEUL,KOR,"Korea, the Republic of (South)",Anyang-si,sales@bitgeul.kr,www.bitgeul.kr,bitgeul-co-ltd
"Bitpott (Nantong) New Energy Technology Co., Ltd",CHN,China,Nantong Jiangsu,sales@forigat.com,https://forigat.com,bitpott-nantong-new-energy-technology-co-ltd
BJB GmbH &amp; Co. KG,DEU,Germany,Arnsberg,info@bjb.com,www.bjb.com,bjb-gmbh--co-kg
BLF S.r.l.,ITA,Italy,Sumirago,blf@blf.it,www.blf.it,blf-srl
"Hangzhou Blueberry Lighting Tech Co., Ltd.",CHN,China,Hangzhou Zhejiang,info@blueberry.hk,www.blueberry.hk,hangzhou-blueberry-lighting-tech-co-ltd
"Blueview Elec-optic Tech Co., Ltd.",CHN,China,Chengdu Sichuan,nicole@blueviewled.com,www.blueviewled.com,blueview-elec-optic-tech-co-ltd
Blumotix S.r.l.,ITA,Italy,Lugo,zambelli@blumotix.it,blumotix.com,blumotix-srl
