name,country_iso3,country_label,city,email,homepage,rewriteId
aedifion GmbH,DEU,Germany,Köln,contact@aedifion.com,www.aedifion.com,aedifion-gmbh
"Foshan Aekea Commercial Co., Ltd.",CHN,China,Foshan Guangdong,kobol@jfbathroom.com,www.jfbathroom.com,foshan-aekea-commercial-co-ltd--qingke-lejun-decorative-materials-city
AEnergy GmbH,DEU,Germany,Landsberg am Lech,info@aenergy.de,www.aenergy.de,aenergy-gmbh
"AENOR CONF&Iacute;A, S.A.U.",ESP,Spain,Madrid,mjpilar@aenor.com,http://certifiedplastic.aenor.com,aenor-confa-sau
Aerauliqa S.r.l.,ITA,Italy,Montichiari,info@aerauliqa.it,www.aerauliqa.it,aerauliqa-srl
Aereco GmbH,DEU,Germany,Hofheim-Wallau,info@aereco.de,www.aereco.de,aereco-gmbh
Aerfor S.r.l.,ITA,Italy,Brugine,bagante.lorenzo@aerfor.com,www.aerfor.com,aerfor-srl
Aermec Spa,ITA,Italy,Bevilacqua,sales@aermec.com,global.aermec.com,aermec-spa
AEROSTAR,UKR,Ukraine,Kyiv,office@ventservice.com.ua,https://aerostar.ua/en,vent-service-llc
Aerotechnik E. Siegwart GmbH,DEU,Germany,Friedrichsthal,info@aerotechnik.de,www.aerotechnik.de,aerotechnik-e-siegwart-gesellschaft-mit-beschraenkter-haftung
AFL MOTORS EUROPE,POL,Poland,Gdynia,,,afl-motors-europe-g-perestaj-spk
AFRISO-EURO-INDEX GmbH,DEU,Germany,Güglingen,info@afriso.de,www.afriso.de,afriso-euro-index-gmbh
AFS Boru Sanayi A.S.,TUR,Türkiye,Ostim/Ankara,export@afs.com.tr,www.afs.com.tr,afs-boru-sanayi-as
Anhui Afulise Construction Technology Co. Ltd.,CHN,China,Huainan Anhui,sales02@afulise.com,www.afulise.com,anhui-afulise-construction-technology-co-ltd
Agaflex Sp. z o.o.,POL,Poland,Warszawa,,,agaflex-sp-z-oo
A.G.S. Pipes S.R.L. - Unipersonale,ITA,Italy,Val Liona,info@agssrl.it,www.agssrl.it,ags-pipes-srl---unipersonale
"Ningbo Yinzhou AG Valve Co., Ltd.",CHN,China,Ningbo Zhejiang,sales@sinoangel.com,www.sinoangel.com,ningbo-yinzhou-ag-valve-co-ltd
a.h.s. GmbH,DEU,Germany,Iserlohn,info@a-h-s-gmbh.com,http://a-h-s-gmbh.com,ahs-gmbh
AHT GmbH,DEU,Germany,Meßstetten,news@aht-net.de,www.aht-net.de,aht-gmbh
"Aifeiling Sanitary Wares Technology Group Co., Ltd.",CHN,China,Taizhou Zhejiang,aleena@aifeiling.com,www.aifeiling.com,aifeiling-sanitary-wares-technology-group-co-ltd
Airaga Rubinetterie S.p.A.,ITA,Italy,Gozzano,fiorella.pischedda@airaga.com,www.airaga.com,airaga-rubinetterie-spa
Aircal Heat Pump Ltd.,CHN,China,Guangzhou Guangdong,info@aircal.cn,www.aircalheatpump.com,aircal-heat-pump-ltd
Airfi Oy AB,FIN,Finland,Raisio,info@airfi.fi,www.airfi.eu,airfi-oy-ab
AIRFLOW Lufttechnik GmbH,DEU,Germany,Rheinbach,info@airflow.de,www.airflow.de,airflow-lufttechnik-gmbh
Airios,NLD,Netherlands,Veldhoven,info@airios.eu,www.airios.eu,airios
Airobot Technologies AS,EST,Estonia,Soodevahe Küla Rae vald,sales@airobothome.com,www.airobothome.com/en,airobot-technologies-as
Aironn Havalandirma San. A.S.,TUR,Türkiye,Kocaeli,info@aironn.com.tr,www.aironn.com.tr,aironn-havalandirma-san-as
Airplast Srl,ITA,Italy,Pianezze,info@airplast.it,https://www.airplast.it/en,airplast-srl
AirQuell GmbH,DEU,Germany,Höchstadt,info@airquell.com,www.airquell.com,airquell-gmbh
AirSmart BV,BEL,Belgium,Schoten,louis@airsmart.pro,,airsmart-bv
AIRVANCE Group,FRA,France,Beynost,acharlotte.resillot@airvancegroup.com,www.airvancegroup.com,france-air-sas
"AISBL European Committee of Heating Ventilation, Air Conditioning and Refrigeration Manufacturers",BEL,Belgium,Brussels,secretariat@eurovent.eu,www.eurovent.eu,aisbl-european-committee-of-heating-ventilation-air-conditioning-and-refrigeration-manufacturers
AIS - Multicapas Industrial GmbH,DEU,Germany,Mömbris,info@aisoutnovation.com,www.aisoutnovation.com,multicapas-industrial-gmbh
AK Grup Tesisat Malzemeleri Sanayi Ic Ve Dis Ticaret Limited Sirketi,TUR,Türkiye,Istanbul,simay.akdemir@beze.com.tr,www.akgrup.com.tr,ak-grup-tesisat-malzemeleri-sanayi-ic-ve-dis-ticaret-limited-sirketi
AKG Thermotechnik International GmbH &amp; Co. KG,DEU,Germany,Hofgeismar,info@akg-gruppe.de,www.akg-gruppe.de,akg-thermotechnik-international-gmbh--co-kg
Akgun Akaryakit Sanayi Ve Ticaret Ltd Sti,TUR,Türkiye,Tuzla/Istanbul,,,akgun-akaryakit-sanayi-ve-ticaret-ltd-sti
Akkim Sealants &amp; Adhesives Yapi Kimyasallari San. Tic. A.S.,TUR,Türkiye,,sales@akkim.net,www.akkim.net,akkim-sealants--adhesives-yapi-kimyasallari-san-tic-as
Aktif Motor Havalandirma Sistemleri San. Tic. Ltd. Sti.,TUR,Türkiye,Istanbul,,,aktif-motor-havalandirma-sistemleri-san-tic-ltd-sti
Alape GmbH,DEU,Germany,Goslar,info@alape.com,www.alape.com,alape-gmbh
ALBA S.r.l.,ITA,Italy,Rodengo Saiano,fiere@alba1972.it,www.alba1972.it,alba-srl
V.A. Albertoni srl,ITA,Italy,Gozzano,info@va-albertoni.it,www.va-albertoni.it,va-albertoni-srl
Alcadrain s.r.o.,CZE,Czech Republic,Prague 7,alcadrain@alcadrain.cz,www.alcadrain.com,alcadrain-sro
ALGICOCINA SL,ESP,Spain,Vinaròs,coycama@coycama.com,www.coycama.com,algicocina-sl
AL-KO THERM GMBH,DEU,Germany,Jettingen-Scheppach,klima.technik@alko-air.com,https://alko-airtechnology.com/,al-ko-therm-gmbh
Allengra GmbH,DEU,Germany,Ravenstein,info@allengra.eu,www.allengra.eu,allengra-gmbh
Alliance Metal India,IND,India,Jamnagar,sales1@alliancemetalindia.com,www.alliancemetalindia.com,alliance-metal-india
Allorado BV,BEL,Belgium,Tervuren,info@allorado.io,www.allorado.io,allorado-bv
A.L.M.A.G. S.p.A. Azienda Lavorazioni Metallurgiche e Affini Gnutti,ITA,Italy,Roncadelle,marco.morelli@almag.it,https://www.almagbrass.com/,almag-spa-azienda-lavorazioni-metallurgiche-e-affini-gnutti
Almar Srl,ITA,Italy,Gavirate,info@almarmadeinitaly.it,www.almarmadeinitaly.it,almar-srl
ALMEVA EAST EUROPE a.s.,CZE,Czech Republic,Zelesice u Brna,cz@almeva.eu,www.almeva.swiss,almeva-east-europe-as
Alnor Systemy Wentylacji Sp. z o.o.,POL,Poland,Warszawa,alnor@alnor.com.pl,www.ventilation-alnor.co.uk,alnor-systemy-wentylacji-sp-z-oo
alpha innotec,DEU,Germany,Kasendorf,info@alpha-innotec.de,www.alpha-innotec.com,ait-deutschland-gmbh
ALP Pompa Teknolojileri Ticaret ve Sanayi A.S. (ETNA),TUR,Türkiye,Istanbul,info@etna.com.tr,https://www.etna.com.tr/en/,alp-pompa-teknolojileri-san-ve-tic-as
AMFAG Srl,ITA,Italy,Casaloldo (Mantova),sales@amfagairforce.com,www.amfag.com,amfag-srl
Zhongshan Amitime Electric Co. Ltd.,CHN,China,Zhongshan Guangdong,info@amitime.com,www.amitime.com,zhongshan-amitime-electric-co-ltd
Amnitec Ltd.,GBR,Great Britain and Northern Ireland,"Merthyr Tydfil, South Wales",sales@gastite.co.uk,www.amnitec.co.uk,amnitec-ltd
Anadolu Bakir A.S,TUR,Türkiye,Ergene/Tekirdag,export@anadolubakir.com,www.anadolubakir.com,anadolu-bakir-as
"Xiamen Anboly Technology Co., Ltd.",CHN,China,Xiamen Fujian,anboly@anboly.com,www.anboly.com,xiamen-anboly-technology-co-ltd
Anco Rubinetterie di Bonomini Angelo &amp; C. s.n.c.,ITA,Italy,Villa Carcina,info@anco.it,www.anco.it,anco-rubinetterie-di-bonomini-angelo--c-snc
"Yuhuan Angel Sanitary Wares Co., Ltd.",CHN,China,Yuhuan Zhejiang,ajsw@anjier.com,www.anjier.com,yuhuan-angel-sanitary-wares-co-ltd
Angst + Pfister AG,CHE,Switzerland,Zürich,,,angst--pfister-ag
ANI PLAST UAB,LTU,Lithuania,Klaipeda,office@aniplast.lt,www.aniplast.lt,ani-plast-uab
"Zhejiang Anma Sanitary Ware Co., Ltd.",CHN,China,Taizhou Zhejiang,roger@anmafaucet.com,www.anmafaucet.com,zhejiang-anma-sanitary-ware-co-ltd
"Jiangmen Anmei Industrial Co., Ltd.",CHN,China,Jiangmen Guangdong,sales2@banyanfaucet.com,www.anmeifaucet.com,jiangmen-anmei-industrial-co-ltd
"Guangdong Answer Technology Co., Ltd.",CHN,China,Foshan Guangdong,answer@answertech.com.cn,https://asthermal.com/,guangdong-answer-technology-co-ltd
Antares For Water &amp; Fire GmbH,DEU,Germany,Unterföhring,,,antares-for-water--fire-gmbh
Anwoll Industries Inc,USA,United States,Houston Texas,sales@anwoll.com,www.anwoll.com,anwoll-industries-inc
"Shanghai Aojin Fiberglass Products Co., Ltd",CHN,China,Shanghai Shanghai Shi,grayfeng@aojin-frp.com,www.aojin-frp.com,shanghai-aojin-fiberglass-products-co--ltd
Aokol Environment Technology Co. Ltd.,CHN,China,Ningbo Zhejiang,sales@aokol.com,www.aokol.com,aokol-environment-technology-co-ltd
"Taizhou Aolijie Sanitary Ware Co., Ltd.",CHN,China,Taizhou Zhejiang,sale@aolijiecn.com,www.aolijie.com,taizhou-aolijie-sanitary-ware-co-ltd
Apacor Limited,GBR,Great Britain and Northern Ireland,"Wokingham, Berkshire",,www.apacor.com,apacor-limited
Apaydin Isitma Ve Enerji Sistemleri San. Tic. Ltd. Sti.,TUR,Türkiye,Tekkekoy/Samsun,export2@apaydingrupmetal.com.tr,www.solaren.com.tr,apaydin-isitma-ve-enerji-sistemleri-san-tic-ltd-sti
Apen Group S.p.A.,ITA,Italy,Pessano Con Bornago,export@apengroup.it,www.apengroup.com/en,apen-group-spa
APM S.r.l.,ITA,Italy,Gattico,info@apm.cc,www.apm.cc,apm-srl
"Zhongshan Aquael Sanitary Co., Ltd.",CHN,China,Zhongshan Guangdong,info@aquaelshowers.com,www.aquaelshowers.com,zhongshan-aquael-sanitary-co-ltd
Aquaphor International O&Uuml;,EST,Estonia,Sillamae,,www.aquaphor.com,aquaphor-international-oue
Aqua-Scope Technologies OU,EST,Estonia,Tallinn,,,aqua-scope-technologies-ou
Aquastrong Innovation Pumps Trading LLC,ARE,United Arab Emirates,,info@aquastrong.it,www.aquastrong.it,aquastrong-innovation-pumps-trading-llc
Aquatechnik Group S.p.A.,ITA,Italy,Busto Arsizio,info@aquatechnik.it,www.aquatechnik.it,aquatechnik-group-spa
Aquavital GmbH,DEU,Germany,Leipzig,aquavital.gmbh@hotmail.com,,aquavital-gmbh
AQUER Maciej Dyba Jaroslaw Kram Sp. Jawna,POL,Poland,Dziewin,aquer@aquer.pl,www.aquer.pl,aquer-maciej-dyba-jaroslaw-kram-sp-jawna
Arbonia Riesa GmbH,DEU,Germany,Glaubitz,info@arbonia.de,www.arbonia.de,arbonia-riesa-gmbh
Arcell Isitma Ve Enerji Sistemleri A. S.,TUR,Türkiye,Tuzla /Istanbul,info@arcell.com.tr,www.arcell.com.tr,arcell-isitma-ve-enerji-sistemleri-a-s
VALVULAS ARCO SL,ESP,Spain,Foios,mferrer@valvulasarco.com,valvulasarco.com,valvulas-arco-sl
Area Cooling Solutions SA,ESP,Spain,Santa Perpetua de Mogoda,verkauf@area.es,www.areacooling.de,area-cooling-solutions-sa
Officine ARFINO S.r.l.,ITA,Italy,Varallo,info@officinearfino.it,www.officinearfino.it,officine-arfino-srl
ARI-Armaturen Albert Richter GmbH &amp; Co. KG,DEU,Germany,Schloß Holte-Stukenbrock,info.vertrieb@ari-armaturen.com,www.ari-armaturen.com,ari-armaturen-albert-richter-gmbh--co-kg
Arikazan Makina San. ve Tic. A.S.,TUR,Türkiye,Ankara,info@arikazan.com.tr,www.arikazan.com.tr,arikazan-maksanveticas
ARIS GmbH,DEU,Germany,Wernau,,www.aris-systeme.de,aris-gmbh
Arka Sp. z o.o.,POL,Poland,Sianów,arka@arka-instalacje.pl,www.arka-instalacje.pl,arka-sp-z-oo
ARLANS AB,SWE,Sweden,Stockholm,sales@arlans.se,www.arlans.se,arlans-ab
ARMAKAN PVC Kiebus Krzysztof,POL,Poland,Olesnica,biuro@armakan.pl,www.armakan.pl,armakan-pvc-krzysztof-kiebus
Armstrong Fluid Technology GmbH,DEU,Germany,Kronberg im Taunus,info@armstrongfluidtechnology.com,https://armstrongfluidtechnology.com/de-de/,armstrong-fluid-technology-gmbh
ARM TECHNOLOGY UAB,LTU,Lithuania,Vilnius,info@armtechnology.eu,www.armtechnology.eu,arm-technology-uab
Artemis Insaat Sanayi Ve Insaat Malz. Paz. Tic. A.S.,TUR,Türkiye,"Gebze, Kocaeli",export@artemis.com.tr,www.artemis.com.tr,artemis-insaat-sanayi-ve-insaat-malz-paz-tic-as
Ar-Tex S.p.A.,ITA,Italy,Viadanica,info@ar-tex.it,www.ar-tex.it,ar-tex-spa
Arthermo S.r.l.,ITA,Italy,Gessate,info@arthermo.com,www.arthermo.com,arthermo-srl
Arven S.r.l.,ITA,Italy,Maclodio,estero@arven.it,www.arven.it,arven-srl
Asia Flexproduction Ltd.,CHN,China,Yuyao Zhejiang,,,asia-flexproduction-ltd
Asil Krom Evye Sanayi ve Tic. A.S.,TUR,Türkiye,Esenyurt / Istanbul,info@asilkrom.com,www.asilkrom.com,asil-krom-evye-sanayi-ve-tic-as
Aspen Pumps Group,GBR,Great Britain and Northern Ireland,Hailsham,sales@aspenpumps.com,www.aspenpumps.com,aspen-pumps-group-limited
ASPINA GmbH,DEU,Germany,Eschborn,eu.info@aspina-group.com,www.aspina-group.com,aspina-gmbh
Assotherm S.r.l.,ITA,Italy,Casazza,,,assotherm-srl
Astral Limited,IND,India,Ahmedabad,yogen.parikh@astralltd.com,www.astralpipes.com,astral-limited
ATEC GmbH &amp; Co. KG,DEU,Germany,Neu Wulmstorf,info@atec-energiefluss.de,https://atec-energiefluss.de,atec-gmbh--co-kg
A.T. Gomma Guarnizioni Industriali S.r.l,ITA,Italy,Foresto Sparso,,,at-gomma-guarnizioni-industriali-srl
Athena S.p.A.,ITA,Italy,Alonte - Vicenza,commerciale@athena.eu,www.athena.industries,athena-spa
ATI DI MARIANI SRL,ITA,Italy,Cesena,info@atimariani.it,www.atimariani.it,ati-di-mariani-srl
Atlas Filtri S.r.l.,ITA,Italy,Limena,info@atlasfiltri.com,www.atlasfiltri.com,atlas-filtri-srl
ATM Isi Transfer San. Ve Tic. A.S,TUR,Türkiye,Kocaeli,,,atm-isi-transfer-san-ve-tic-as
A.T.P. Avanzate Tecnologie Plastiche S.r.l.,ITA,Italy,Barletta,atp@atpsrl.it,www.atpsrl.net,atp-avanzate-tecnologie-plastiche-srl
Auray Managing S.L.U.,ESP,Spain,Palau Solita i Plegamans,jbrossa@pipex.es,www.pipex.es,auray-managing-slu
Au&szlig;enwirtschaftsCenter BERLIN,DEU,Germany,Berlin,berlin@advantageaustria.org,https://www.advantageaustria.org/de,wirtschaftskammer-oe-messebereich
Hongkong Auster Sanitary Ware Industry Limited,HKG,Hong Kong,Wanchai,kp@edea-faucet.com,www.edea-faucet.com,hongkong-auster-sanitary-ware-industry-limited
autarc GmbH,DEU,Germany,Berlin,hello@autarc.energy,www.autarc.energy,autarc-gmbh
Automazioni Industriali S.r.l.,ITA,Italy,Nave,sales@autind.com,www.autind.com,automazioni-industriali-srl
auxalia GmbH,DEU,Germany,Hamburg,info@auxalia.com,www.auxalia.com,auxalia-gmbh
"Ningbo Aux Electric Co., Ltd",CHN,China,Ningbo Zhejiang,matengfei@aux-home.com,www.auxcac.cn,ningbo-aux-electric-coltd
Avantec Manufacturing Limited,HKG,Hong Kong,Kowloon,office@avantec.com.hk,www.avantec.com.hk,avantec-manufacturing-limited
"Jiangxi Avonflow Hvac Tech Co., Ltd.",CHN,China,Shangrao Jiangxi,028@avonflow.com.cn,www.avonflow.com.cn,jiangxi-avonflow-hvac-tech-co-ltd
AWENTA E.W.A. Chomka Sp. J.,POL,Poland,Minsk Mazowiecki,export@awenta.pl,www.awenta.pl,awenta--ewa-chomka-sp-j
Axiom Gesellschaft f&uuml;r Diagnostica und Biochemica mbH,DEU,Germany,Bürstadt,news@axiom-online.net,,axiom-gesellschaft-fuer-diagnostica-und-biochemica-mbh
Haci Ayvaz Endustriyel Mamuller San. ve Tic. A.S.,TUR,Türkiye,Arnavutköy /Istanbul,info@ayvaz.com,www.ayvaz.com.tr,haci-ayvaz-endustriyel-mamuller-san-ve-tic-as
AZ INTEC GmbH,DEU,Germany,Olbernhau,info@azintec.com,www.azintec.com,az-intec-gmbh
Backer AB,SWE,Sweden,Sösdala,anna-karin.persson@backer.se,www.backergroup.com,backer-ab
Backer AB Backer Calesco,SWE,Sweden,Kolbäck,sales-support@backercalesco.se,http://www.backercalesco.com/,backer-ab-backer-calesco
Backer Fer Srl,ITA,Italy,Terre del Reno,info@backerfer.com,www.backerfer.com,backer-fer-srl
Backer OBR Sp z o.o.,POL,Poland,Pyrzyce,info@backerobr.pl,www.backerobr.pl,backer-obr-sp-z-oo
BACnet Interest Group Europe e.V.,DEU,Germany,Aachen,info@big-eu.org,www.big-eu.org,bacnet-interest-group-europe-ev
BAC pool systems GmbH,DEU,Germany,Ettlingen,info@bac-poolsystems.com,www.bac-poolsystems.com,bac-pool-systems-gmbh
Baden Radyat&ouml;r Sanayi ve Ticaret Ltd. Sti,TUR,Türkiye,Bozüyük / Bilecik,ceylankucuk@superonline.com,www.badengroup.com,baden-radyatoer-sanayi-ve-ticaret-ltdsti
W. Baelz &amp; Sohn GmbH &amp; Co.,DEU,Germany,Heilbronn,mail@baelz.de,www.baelz.de,w-baelz--sohn-gmbh--co
Baer Energie- &amp; Messtechnik GmbH,DEU,Germany,Fürth,kontakt@baeris.de,,baer-energie---messtechnik-gmbh
Bahcivan Havalandirma Sistemleri ve Elektrik Motorlari San. ve A.S.,TUR,Türkiye,Arnavutköy / Istanbul,ud@bvnair.com,www.bvnair.com,bahcivan-havalandirma-sistemleri-ve-elektrik-motorlari-sanve-as
baind AG,DEU,Germany,München,,,baind-ag
"Zhejiang Baiyilun Intelligent Control System Co., Ltd.",CHN,China,Wenzhou Zhejiang,wz@baiyilun.com,www.baiyilun.com,zhejiang-baiyilun-intelligent-control-system-co-ltd
Balteco AS,EST,Estonia,Jälgimäe küla Saku vald,info@balteco.com,www.balteco.com,balteco-as
Bandini Scaldabagni S.p.A.,ITA,Italy,Poggibonsi,marketing@bandini.it,www.bandiniwaterheaters.com,bandini-scaldabagni-spa
Barberi Rubinetterie Industriali S.r.l.,ITA,Italy,Valduggia,barberi@barberi.it,www.barberi.it,barberi-rubinetterie-industriali-srl
Industrial Blansol - Barbi,ESP,Spain,Barcena de Cicero,general@barbi.es,www.blansol.es,industrial-blansol-sa
La B&amp;G di Bardini Enrico e C. S.r.l.,ITA,Italy,Lumezzane,walterz@labeg.it,www.labeg.it,la-bg-di-bardini-enrico-e-c-srl
Barnova GmbH,DEU,Germany,Bad Laasphe,info@barnova.de,www.barnova.de,barnova-gmbh
Barocal Ltd,GBR,Great Britain and Northern Ireland,Cambridge,,www.barocal.com,barocal-ltd
Bartholom&auml;us GmbH,DEU,Germany,Emerkingen,info@geba-emerkingen.de,www.geba-emerkingen.de,bartholomaeus-gmbh
Bartin Seramik Sanayi Ve Ticaret Anonim Sirketi,TUR,Türkiye,Bartin,elifacarbas@quarterbath.com,www.quarterbath.com,bartin-seramik-sanayi-ve-ticaret-anonim-sirketi
Bath Collection S.L.,ESP,Spain,Santander,acobo@bathcogroup.com,www.thebathcollection.com,bath-collection-sl
Bath Deluxe s.r.o.,CZE,Czech Republic,Praha,finn@bathdeluxe.com,www.bathdeluxe.com,bath-deluxe-sro
BauGrund S&uuml;d Gesellschaft f&uuml;r Geothermie mbH,DEU,Germany,Bad Wurzach,info@baugrundsued.de,www.baugrundsued.de,baugrund-sued-gesellschaft-fuer-geothermie-mbh
HG Baunach GmbH &amp; Co. KG,DEU,Germany,Hückelhoven,info@baunach.net,www.baunach.net,hg-baunach-gmbh--co-kg
BAUTHERM ISITMA SAN. TIC. A.S.,TUR,Türkiye,Samsun,export@bautherm.net,www.bautherm.net,bautherm-isitma-sanayi-ticaret-anonim-sirketi
BBHUM B.V.,NLD,Netherlands,Hilversum,info@bbhum.nl,www.bbhum.com,bbhum-services-bv
BCF Italia S.r.l.,ITA,Italy,Rivignano Teor,bcf@bcf-italia.com,www.bcf-italia.com,bcf-italia-srl
BDEW - Bundesverband der Energie- und Wasserwirtschaft e.V.,DEU,Germany,Berlin,info@bdew.de,https://www.bdew.de,bdew---bundesverband-der-energie--und-wasserwirtschaft-ev
Bundesverband der Deutschen Heizungsindustrie (BDH),DEU,Germany,Köln,info@bdh-industrie.de,www.bdh-industrie.de,interessengemeinschaft-energie--umwelt--feuerungen-gmbh
Bundesverband der Deutschen Industrie e.V. (BDI),DEU,Germany,Berlin,info@bdi.eu,https://bdi.eu/,bundesverband-der-deutschen-industrie-ev-bdi
BE - Allbrass Industrial B.V. part of Bons &amp; Evers Group,NLD,Netherlands,Borne,info-nl@bons-evers.com,www.bons-evers.com,be---allbrass-industrial-bv
Beckett Thermal Solutions S.r.l.,ITA,Italy,Formigine,sales@beckettthermal.com,www.beckettthermal.com,beckett-thermal-solutions-srl
"BECRISA 2011, S.L.",ESP,Spain,Onda,ignacio@coycama.com,www.becrisa.com,becrisa-2011-sl
Bedisa A.Ş.,TUR,Türkiye,Ankara,turkmen.boran@bedisa.com.tr,www.bedisa.com.tr,bedisa-insaat-madencilik-sanayi-ve-ticaret-anonim-sirketi
G. Bee GmbH,DEU,Germany,Freiberg am Neckar,info@g-bee.de,www.g-bee.de,g-bee-gmbh
BEHNCKE GmbH,DEU,Germany,Hohenbrunn,info@behncke.com,www.behncke.com,behncke-gmbh
"Yuyao Beilv Sanitary Ware Co., Ltd",CHN,China,"Yuyao, Ningbo Zhejiang",vicky@yuxiong.com,www.yuxiong.com,yuyao-beilv-sanitary-ware-co-ltd
BELIMO Automation AG,CHE,Switzerland,Hinwil,info@belimo.ch,www.belimo.ch,belimo-automation-ag
Bella Stone Company Limited,HKG,Hong Kong,Kowloon,exportsales@fsbella.com,www.fsbella.com,bella-stone-company-limited
BEMETA Design s.r.o.,CZE,Czech Republic,Žatčany,export@bemeta.cz,www.bemeta.com,bemeta-design-sro
Bemis GmbH,DEU,Germany,Essen,verkauf@bemismfg.com,www.bemisemea.com/de,bemis-gmbh
Benkiser Armaturenwerk GmbH,DEU,Germany,Burglengenfeld,info@benkiser.de,www.benkiser.net,benkiser-armaturenwerk-gmbh
Berliner Luft.Technik GmbH,DEU,Germany,Berlin,info@berlinerluft.de,www.berlinerluft.de,berliner-lufttechnik-gmbh
Berndorf B&auml;derbau Deutschland GmbH,DEU,Germany,Breitscheid,office@berndorf-baederbau.com,www.berndorf-baederbau.com,berndorf-baederbau-deutschland-gmbh
Bertelli &amp; Partners S.r.l.,ITA,Italy,Angiari,,www.bertelli-partners.it,bertelli--partners-srl
BESCO GmbH,DEU,Germany,Krefeld,info@bescofittings.de,www.bescofittings.de,besco-gmbh
Best Bathroom by Stefano Ollino Design Studio,ITA,Italy,Torino,,,stefano-ollino-design-studio
Bette GmbH &amp; Co. KG,DEU,Germany,Delbrück,info@bette.de,www.my-bette.com,bette-gmbh--co-kg
Better Sol GmbH,DEU,Germany,Braunschweig,info@better-sol.com,www.better-sol.com,better-sol-gmbh
Betterspace GmbH,DEU,Germany,Ilmenau,info@betterspace360.com,www.betterspace360.com,betterspace-gmbh
BEULCO GmbH &amp; Co. KG,DEU,Germany,Attendorn,info@beulco.de,www.beulco.de,beulco-gmbh--co-kg
BEWI,NLD,Netherlands,Wijchen,info@bewi.com,www.bewi.com,synprodo-bv
BFM Teknik Yapi Malzemeleri Ltd. Sti.,TUR,Türkiye,Arnavutkoy/Istanbul,info@villoren.com,www.villoren.com,bfm-teknik-yapi-malzemeleri-ltd-sti
BG BAU - Berufsgenossenschaft der Bauwirtschaft,DEU,Germany,Berlin,info@bgbau.de,www.bgbau.de,bg-bau---berufsgenossenschaft-der-bauwirtschaft
