name,fair,fair_id,city,country_iso3,email,homepage
Agartalla Agarwood Corporation (OPC) Pvt. Ltd.,Beautyworld Riyadh 2026,BEAUTYWORLDSAUDIARABIA,Agartala,IND,agartalaagarwoodcorporation@protonmail.com,
Agarwal Herbal Products,Beautyworld Riyadh 2026,BEAUTYWORLDSAUDIARABIA,Navi Mumbai,IND,exportsales@agarwalherbalproducts.com,www.agarwalherbalproducts.com
Agarwal Herbal Products,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Navi Mumbai,IND,exportsales@agarwalherbalproducts.com,www.agarwalherbalproducts.com
Agastya Signtech,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Pune,IND,admarkanu@hotmail.com,
AGATE HOME FASHIONS,Heimtextil 2027,HEIMTEXTIL,Panipat,IND,md@agatehomefashions.com,www.agatehomefashions.com
AGATE HOME FASHIONS,Ambiente 2026,AMBIENTE,Panipat,IND,md@agatehomefashions.com,www.agatehomefashions.com
AGI Greenpac Limited,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Hyderabad,IND,shailendra.tiwari@agi-glaspac.com,www.agigreenpac.com
Aglow Exports Inc.,Ambiente 2026,AMBIENTE,JP Nagar,IND,info@aglowexports.com,www.aglowexports.com
Agnee Innovates Private Limited,Heimtextil 2027,HEIMTEXTIL,Varanashi,IND,lalit.baliyan@agniexports.com,www.agniexports.com
AG Poly Packs Private Limted,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Ghaziabad,IND,Aditya@polypacks.com,www.agpolypacks.com
AHA Automotive Innovations LLP,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Jaipur,IND,aakash@aha3d.in,www.aha.store
Ahmad Brass Corporation,Ambiente 2026,AMBIENTE,Moradabad,IND,shoaib@abcorp.co.in,homeandgardendecor.in
Ahuja Oriented,Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,Jaipur,IND,ahuja@ahujajaipur.com,www.ahujajaipur.com
Ahuja Oriented,Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,Jaipur,IND,ahuja@ahujajaipur.com,www.ahujajaipur.com
Ahujasons Shawlwale,Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,New Delhi,IND,info@ahujasons.com,www.ahujasons.com
"Ahujas Web Pvt, Ltd",Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,Noida,IND,tailorindia13@gmail.com,www.ahujaweb.com
AIM Nonwovens and Interiors Private Limited,Techtextil 2026,TECHTEXTIL,Pune,IND,info@aimfiltration.com,www.aimfiltration.com
Air Filter Industries Pvt. Ltd.,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,PUNE,IND,aditya@afiindia.com,www.afiindia.com
AIRMARK INC,Paperworld Delhi 2026,PAPERWORLDDELHI,Mumbai,IND,Ansh@airmark.co,
Aisha Exports,Ambiente 2026,AMBIENTE,Firozabad,IND,gauravadvocate2@gmail.com,
AiTTiS BUSINESS EVANGELISTS &amp; ADVISORS LLP,Techtextil India 2025,TECHTEXTILINDIA,Bhilwara,IND,aittis.llp@gmail.com,www.aittis.com
Ajanta Universal Fabrics Limited,Techtextil 2026,TECHTEXTIL,Karad,IND,sawant@aufl.in,www.aufl.in
Ajay Automobiles,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Delhi,IND,98mayankgupta@gmail.com,
Ajay Industries,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Jalandhar,IND,info@ajayind.com,www.ajayind.com
Ajay Meru Metals Pvt.Ltd.,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Noida,IND,prabhat.mehta@ajaymerumetals.com,www.ajaymerumetals.com
A J Marketing,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Chennai,IND,ajmarketingchn@gmail.com,
AJY TECH INDIA PRIVATE LIMITED,Techtextil India 2025,TECHTEXTILINDIA,Surat,IND,raj@ajytechindia.com,https://www.ajytechindia.com/
Akal Spring Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Ludhiana,IND,gursharan@akalspring.com,www.akalspring.com
Akanksha International,Ambiente 2026,AMBIENTE,Moradabad,IND,akanksha@akankshaintl.com,www.akankshaintl.com
Akara,Heimtextil 2027,HEIMTEXTIL,Thane,IND,info@akararugs.in,www.akararugs.in
Akar Auto Industries Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Aurangabad,IND,,www.akartoolsltd.com
Akar Auto Industries Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Aurangabad,IND,sales@akartoolsltd.com,www.akarauto.com
Akash Export,Texworld Paris Autumn 2026,TEXWORLDPARISAUTUMN,Kolkata,IND,haralalkaakash@hotmail.com,
A K Automotive,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Delhi,IND,akautomotiveindia@gmail.com,
AKIKO HOME,Interior Lifestyle Tokyo 2026,INTERIORLIFESTYLETOKYO,New Delhi,IND,sumudit@hotmail.com,www.akikointernational.com
A K INDUSTRIAL FABRICS,Techtextil 2026,TECHTEXTIL,Kanpur,IND,akindfabrics@gmail.com,https://akindfabrics.com/
AK Printers,Print Expo Chennai 2026,PRINTEXPOCHENNAI,Chennai,IND,akprinters@hotmail.com,www.akprinters.co.in
Akshar Sign Shop,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Mumbai,IND,aksharsin@live.in,
Akshay Automobiles,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Mumbai,IND,akshay.automobiles@yahoo.com,
Akshay Enterprise,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Jamnagar,IND,sales@abcbrass.com,www.abcbrass.com
Alamgir Papier Machie House,Ambiente 2026,AMBIENTE,New Delhi,IND,zahooralamgir@outlook.com,
Alamgir Papier Machie House,Christmasworld 2026,CHRISTMASWORLD,New Delhi,IND,zahooralamgir@outlook.com,www.alamgirexports.com
Alberto Music,Music China 2026,MUSICCHINA,IN-13 Mumbai,IND,alberto_music@live.com,www.albertomusic.net
ALCON Electronics Pvt. Ltd.,PCIM 2026,PCIMEUROPE,"Satpur, Nashik",IND,mail@alconelectronics.com,www.alconelectronics.com
ALC SKICORP THERMOADHESIVES PVT LTD,Techtextil India 2025,TECHTEXTILINDIA,Kolkata,IND,srivastwa@skicorp.net,www.skicorp.net
Alfa Abhirashi Group,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Faridabad,IND,ab.jain@alfainst.co.in,www.alfainst.com
Alfa Cotec Industries (HRBL GROUP),ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Gurugram,IND,mkt@alfacotec.com,www.alfacotec.com
Alfa Flexitubes Pvt. Ltd.,Automechanika Frankfurt 2026,AUTOMECHANIKA,Bahdurgarh,IND,info@alfa-flexitubes.com,www.alfa-flexitubes.com
Alfa Flexitubes Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Bahadurgarh,IND,standon@alfa-flexitubes.com,www.alfa-flexitubes.com
Alfa-Instruments-(P)-Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Faridabad,IND,,
Abhirashi Impex,Automechanika Birmingham 2025,AUTOMECHANIKABIRMINGHAM,NIT Faridabad,IND,,https://alfainst.com/
Alfa Pumps Private Limited,ACHEMA Middle East 2026,ACHEMAMIDDLEEAST,Ahmedabad,IND,harenda@alfapumps.com,www.alfapumps.com
ALFATECH,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Mumbai,IND,alfatechasia@gmail.com,
A. L. Home,Ambiente 2026,AMBIENTE,Jaipur,IND,,
Ali Brothers,Ambiente 2026,AMBIENTE,Firozabad,IND,,
Alisha Coils and Transformers A Division of Cosmo Ferrites Ltd.,PCIM 2026,PCIMEUROPE,Himachal Pradesh,IND,sales@cosmoferrites.com,www.alishacoils.com
Alko Plus Technosafe Private Limited,Intersec 2026,INTERSEC,"Bahadurgarh, Haryana-124507, INDIA",IND,info@alkoplus.com,www.alkoplus.com
ALKOSIGN LIMITED,Paperworld Mumbai 2026,STATIONERYWRITESHOWPRESENTEDBYPAPERWORLD,Bhiwandi,IND,sales@alkosign.com,www.alkosign.com
Allene Overseas Pvt. Ltd.,Ambiente 2026,AMBIENTE,Sonepat (Haryana),IND,vipul@allene.in,www.allene.in
Alliance Fibres Limited,Techtextil 2026,TECHTEXTIL,"Mangrol, Dist. Surat",IND,info@alliancefibres.com,
Alliance International,Ambiente 2026,AMBIENTE,Moradabad,IND,info@allianceintl.in,https://allianceintl.in/
Alliance Metal India,ISH 2025,ISH,Jamnagar,IND,sales1@alliancemetalindia.com,www.alliancemetalindia.com
ALLIANCE RECPET PRIVATE LIMITED,Techtextil India 2025,TECHTEXTILINDIA,Surat,IND,info@alliancefibres.com,www.alliancefibres.com
ALLIANZ DIARY,Paperworld Delhi 2026,PAPERWORLDDELHI,Delhi,IND,allianzdiary@gmail.com,
ALLIED INSTRUMENTS PVT. LTD.,Paperworld Mumbai 2026,STATIONERYWRITESHOWPRESENTEDBYPAPERWORLD,Mumbai,IND,sumeet.p@omegastationery.com,
Allied Nippon Pvt. Ltd.,Automechanika Frankfurt 2026,AUTOMECHANIKA,Sahibabad,IND,marketinghead@allied-kia.in,www.alliednippon.com
Allied Nippon Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Ghaziabad,IND,,www.alliednippon.com
Allied Transmission And Gears Private Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Sonepat,IND,,www.alliedtransmission.in
Allied Transmission And Gears Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Sonipat,IND,vijay@alliedtransmission.in,www.alliedtransmission.in
ALLIEDWAY INDIA,Techtextil India 2025,TECHTEXTILINDIA,Faridabad,IND,alliedway1@yahoo.com,https://www.alliedwayindia.com/
Alliy International,Christmasworld 2026,CHRISTMASWORLD,Delhi,IND,alliyinternational@yahoo.com,www.alliyinternational.com
All Time Plastics Limited,Ambiente 2026,AMBIENTE,Mumbai,IND,dhvanit@alltimeplastics.com,www.alltimeplastics.com
Allure Gift Wraps,Christmasworld 2026,CHRISTMASWORLD,Mumbai,IND,info@allurewraps.com,www.allurewraps.com
Allwin Bearings LLP,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Rajkot,IND,sales@allwinbearings.com,www.allwinbearings.com
ALLWIN TECHNOLOGIES,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Ernakulam,IND,newclearexpo@gmail.com,www.newcleartechnologies.com
A.L. Paper House LLP,Ambiente 2026,AMBIENTE,Jaipur,IND,imran@alpaperhouse.com,www.alpaperhouse.com
A.L. Paper House LLP,Christmasworld 2026,CHRISTMASWORLD,Jaipur,IND,imran@alpaperhouse.com,www.alpaperhouse.com
ALPA TEXTILES,Techtextil India 2025,TECHTEXTILINDIA,Kalol,IND,anik.agrawal@atnonwoven.com,
Alpha Corporation,Heimtextil 2027,HEIMTEXTIL,Ludhiana,IND,info@alpha-india.com,www.alpha-india.com
ALPHA INTERNATIONAL,Paperworld Mumbai 2026,STATIONERYWRITESHOWPRESENTEDBYPAPERWORLD,Mumbai,IND,alphaintmumbai@gmail.com,www.alphafirst.in
Alphavector (India) Private Limited,EUROBIKE 2026,EUROBIKE,"Ahmedabad, Gujarat",IND,parth.kaushik@alpha-vector.com,https://www.outdoors91.com/
Alpine International,Ambiente 2026,AMBIENTE,Moradabad,IND,shrai@alpineintl.in,
ALP Overseas Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Alwar,IND,marketing@alpoverseas.com,www.alpoverseas.com
ALP Overseas Pvt. Ltd.,Automechanika Riyadh 2026,AUTOMECHANIKARIYADH,Haryana,IND,alpexport@alpoverseas.com,www.alpoverseas.com
Altis Pens &amp; Exports,Paperworld Middle East 2026,PAPERWORLDMIDDLEEAST,Kolkata,IND,abhishek@speedpens.com,www.speedpens.com
Altius Ev Tech Pvt Ltd,Automechanika Riyadh 2026,AUTOMECHANIKARIYADH,New Delhi,IND,info.altiustechnologies@gmail.com,www.altiusevtech.com
Altop Industries,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Vasai,IND,,
Altop Industries,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Vasai Mumbai,IND,,
ALT-RON Automotive Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,New Delhi,IND,sales@altronauto.com,www.altronauto.com
Aluearth Industries Private Limited,Media Expo Delhi 2026,MEDIAEXPODELHI,New Delhi,IND,vpsalesproject@alutechindia.com,
Alufin Tech LLP,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Pune,IND,nilaygholkar@alufingroup.com,www.alufingroup.com
amace solutions private limited,Formnext 2026,FORMNEXT,Bangalore,IND,enquiries@am-ace.com,www.am-ace.com
Aman Enterprises,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,New Delhi,IND,amandeep_singh336@yahoo.com,www.amanasia.com
Aman Enterprises,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,New Delhi,IND,amandeep_singh336@yahoo.com,www.amanasia.com
Aman Polyplast Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Faridabad,IND,rajeeb@amanpolyplast.com,www.amanpolyplast.com
Amara Raja Energy &amp; Mobility Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Hyderabad,IND,skb2@amararaja.com,https://www.amaron.com/
Amaravathi Textiles,Ambiente 2026,AMBIENTE,Karur,IND,amaravathi@amaravathi.net,www.amaravathitextiles.com
AMAR INDUSTRIES,Paperworld Mumbai 2026,STATIONERYWRITESHOWPRESENTEDBYPAPERWORLD,Mumbai,IND,info@amarhouse.net,www.nuovopen.com
Amar International,"Vietnam International Trade Fair for Apparel, Textiles & Textile Technologies 2026",VIETNAMINTERNATIONALTRADEFAIRFORAPPARELTEXTILESTEXTILETECHNOLOGIES,,IND,,www.amarintl.net
Amar International,Yarn Expo Autumn 2026,YARNEXPOSHANGHAIAUTUMN,,IND,,
Amar International,Yarn Expo Spring 2026,YARNEXPOSPRING,,IND,,www.amarintl.net
Amar Petro Chemicals,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Ludhiana,IND,accounts@sharplubes.com,www.sharplubes.com
Amar Wheels Private Limited,EUROBIKE 2026,EUROBIKE,"Ludhiana, Punjab",IND,eb@amarindia.com,
Amato Automotive Private Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Noida,IND,,https://amatoautomotive.co.in/
Amato Automotive Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Noida,IND,siddharthgandhi@autoformindia.com,www.autoformindia.com
