s_no_in_source,name,country_origin,flag,flag_basis,category_segment,hall,stall_no,email,source
59,"KOREA NEW TECH CO., LTD.",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-I,dhoon824@aromasense.co.kr,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
60,MASHHAD CLOTHING SELLERS GUILD UNION,Iran,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Iran"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-07-H,1G-08-D",raikagolaradco@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
61,"MAXSUN CO., LTD",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-F,kisad1002@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
62,MILANO BAZAAR,Egypt,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Egypt"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-02-A,melano.bazar@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
64,MUHAMMAD SAJID TRADING LLC,UAE,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - UAE"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-09-A,B,C",faizankhan@live.in,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
65,NADEEM ENTERPRISES LTD,China,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - China"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-02-C,D,E",nadeement24@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
66,OFFGRID,Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-J,wool@onyoucompany.co.kr,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
67,PREMIER RIDER AB,Sweden,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Sweden"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-04-E,inderpal@premier-rider.se,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
68,SARJAN TRADE UNION,Iran,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Iran"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-G,ariyanmohm@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
69,THAI SMES EXPORTER ASSOCIATION,Thailand,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Thailand"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-02-B,anong_thaisilk@hotmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
70,THE EMBASSY OF LEBANON,Lebanon,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Lebanon"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-04-D,info@embassyoflebanon.in,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
71,THE EMBASSY OF THE REPUBLIC OF TUNISIA,Tunisia,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Tunisia"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-08-G,H,I",tunisiaembassy@tunis.co.in,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
72,TIBETAN CHAMBER OF COMMERCE,Tibet,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Tibet"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section. Note: 'Tibet' is not a country India recognizes diplomatically (Government of India treats Tibet as part of China); this row is a chamber of commerce, not a national pavilion in the usual sense -- kept distinct from the sovereign-country rows below.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-09-D,E,1G-08-C",tibetanchamberc@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
73,TILLO HEDIYELIK ESYA SANAYI,Turkey,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Turkey"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-02-FGH,tillohediyelik@hotmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
